id,nom,type,etat,commune,lon,lat,categorie
30.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5700811433269877,44.84518940927468,Fontaine
31.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5702324616616945,44.84685797427872,Fontaine
32.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5694370983278596,44.84971446927699,Fontaine
33.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5671963700030844,44.85243448427429,Fontaine
40.0,Place Mitchell,WALLACE,fonctionnelle,33063,-0.5758067699970841,44.85048595594505,Fontaine
55.0,Cimetière la Chartreuse n°3,METALCO,fonctionnelle,33063,-0.5983831448302144,44.834329364874314,Fontaine
57.0,Cimetière la Chartreuse n°5,METALCO,fonctionnelle,33063,-0.5973948476531483,44.833647072235,Fontaine
65.0,Cimetière la Chartreuse n°13,METALCO,fonctionnelle,33063,-0.5960730236513451,44.83374416111863,Fontaine
67.0,Cimetière la Chartreuse n°15,METALCO,fonctionnelle,33063,-0.5950632809082416,44.83403433007666,Fontaine
69.0,Cimetière la Chartreuse n°17,METALCO,fonctionnelle,33063,-0.595633341332854,44.83503829814714,Fontaine
70.0,Cimetière la Chartreuse n°18,METALCO,fonctionnelle,33063,-0.5969203438566709,44.83619589595879,Fontaine
71.0,Cimetière la Chartreuse n°19,METALCO,fonctionnelle,33063,-0.5965785861313505,44.83659657181884,Fontaine
73.0,Cimetière la Chartreuse n°21,METALCO,fonctionnelle,33063,-0.5949662559807123,44.835303675553526,Fontaine
76.0,Cimetière la Chartreuse n°24,METALCO,fonctionnelle,33063,-0.5933891518005409,44.837420321150574,Fontaine
77.0,Cimetière la Chartreuse n°25,METALCO,fonctionnelle,33063,-0.5923176104782543,44.83595510108699,Fontaine
82.0,Cimetière la Chartreuse n°30,METALCO,fonctionnelle,33063,-0.5921315062286799,44.83602619475798,Fontaine
83.0,Cimetière la Chartreuse n°31,METALCO,fonctionnelle,33063,-0.593084330137274,44.837439314067154,Fontaine
84.0,Cimetière la Chartreuse n°32,METALCO,fonctionnelle,33063,-0.5920421134972614,44.83764850455193,Fontaine
86.0,Cimetière la Chartreuse n°34,METALCO,fonctionnelle,33063,-0.5912067179684944,44.83639859291937,Fontaine
88.0,Cimetière la Chartreuse n°36,METALCO,fonctionnelle,33063,-0.5905105760767088,44.835243462419605,Fontaine
89.0,Cimetière la Chartreuse n°37,METALCO,fonctionnelle,33063,-0.5904121512300807,44.83500893252614,Fontaine
90.0,Cimetière la Chartreuse n°38,METALCO,fonctionnelle,33063,-0.5893821808110149,44.8355401153029,Fontaine
92.0,Cimetière la Chartreuse n°40,METALCO,fonctionnelle,33063,-0.5901262443161855,44.836759589913946,Fontaine
96.0,Cimetière Pins Francs n°2,METALCO,fonctionnelle,33063,-0.6205700416685797,44.85945594260547,Fontaine
102.0,Cimetière Pins Francs n°8,ROBINET PAPILLON,fonctionnelle,33063,-0.6208757233309109,44.85879891928022,Fontaine
103.0,Cimetière Pins Francs n°9,ROBINET PAPILLON,fonctionnelle,33063,-0.621524193328581,44.85895667760583,Fontaine
105.0,Cimetière Pins Francs n°11,ROBINET PAPILLON,fonctionnelle,33063,-0.6219096583384481,44.858475459277855,Fontaine
106.0,Cimetière Pins Francs n°12,METALCO,fonctionnelle,33063,-0.6221752933347867,44.85925671594115,Fontaine
107.0,Cimetière Pins Francs n°13,PRESTO,fonctionnelle,33063,-0.6210801083312605,44.858493527613966,Fontaine
108.0,Cimetière Pins Francs n°14,PRESTO,fonctionnelle,33063,-0.6210801083300511,44.85849352761489,Fontaine
109.0,Cimetière Pins Francs n°15,PRESTO,fonctionnelle,33063,-0.6210801083288449,44.85849352761585,Fontaine
